record_id,text,sentiment_label,sentiment_score,issue_category,severity,is_actionable
1001801,Capital Trust closed my account without notifying me. I could not access $646 of my own money for 18 days. Please help me resolve this issue.,negative,-0.6,account_access,medium,True
1001190,"My mortgage servicer has mishandled my account for 16 months. They misapplied my payment of $5,112 and charged me a late fee. Please help me resolve this issue.",negative,-0.6,loan_servicing,medium,True
1001817,Capital Trust transferred my mortgage and now my payments are not being applied. They lost my modification paperwork 7 separate times. I am requesting that this be corrected immediately.,negative,-0.6,loan_servicing,medium,True
1000251,I have been trying to fix my credit report for 1 months without success. Capital Trust listed a late payment I never made and it is hurting my ability to get a loan. I have tried to resolve this directly with no success.,negative,-0.6,credit_reporting_error,medium,True
1002505,"My credit score dropped by 10 points last month. The account shows a balance of $3,412 that was already paid in full. I would like a full investigation into this matter.",negative,-0.6,credit_reporting_error,medium,True
1001117,"My credit card company raised my interest rate without notice. They charged me an annual fee of $6,108 after promising to waive it. No one at the company will give me a clear answer.",negative,-0.6,fees_and_charges,medium,True
1001411,I found unauthorized charges on my credit card. The dispute has been open for 18 months with no resolution. This has caused me significant financial stress.,negative,-0.6,fees_and_charges,medium,True
1002113,"My credit card company raised my interest rate without notice. My APR jumped and now I owe $2,957 in interest alone. I would like a full investigation into this matter.",negative,-0.6,fees_and_charges,medium,True
1000408,"Capital Trust closed my account without notifying me. They charged me 3 overdraft fees of $1,327 each in a single day. I have tried to resolve this directly with no success.",negative,-0.6,account_access,medium,True
1002579,"Metro Collections closed my account without notifying me. A deposit of $4,237 was held for 19 days with no explanation. I am requesting that this be corrected immediately.",negative,-0.6,account_access,medium,True
1002254,"My student loans were transferred to a new servicer. I cannot get a straight answer about my loan balance of $4,430. Please help me resolve this issue.",negative,-0.6,loan_servicing,medium,True
1000052,I applied for a loan modification due to financial hardship. They lost my modification paperwork 7 separate times. No one at the company will give me a clear answer.,negative,-0.6,loan_servicing,medium,True
1000644,I applied for a loan modification due to financial hardship. They are threatening foreclosure even though I am current on payments. Please help me resolve this issue.,negative,-0.9,loan_servicing,high,True
1001763,There is an account on my credit report that I do not recognize. Unified Servicing LLC listed a late payment I never made and it is hurting my ability to get a loan. This has caused me significant financial stress.,negative,-0.6,credit_reporting_error,medium,True
1002776,"I was told I qualified for an income-driven repayment plan. I cannot get a straight answer about my loan balance of $3,086. This is the third complaint I have had to file. I am requesting that this be corrected immediately.",negative,-0.9,loan_servicing,high,True
1000900,"I found unauthorized charges on my credit card. My credit limit was cut without explanation, hurting my score. This is the third complaint I have had to file. No one at the company will give me a clear answer.",negative,-0.9,fees_and_charges,high,True
1001073,There is an account on my credit report that I do not recognize. I have disputed this 9 times but the bureau keeps verifying it without investigating. I would like a full investigation into this matter.,negative,-0.6,credit_reporting_error,medium,True
1000472,I submitted a dispute to the credit bureau and heard nothing back. Fraudulent accounts from identity theft are still showing on my report. I would like a full investigation into this matter.,negative,-0.6,credit_reporting_error,medium,True
1002738,I keep receiving collection notices for a debt that is not mine. The calls continue even after I asked them in writing to stop. I have tried to resolve this directly with no success.,negative,-0.6,debt_collection_harassment,medium,True
1002546,"My bank charged me multiple overdraft fees. I could not access $6,416 of my own money for 27 days. I have tried to resolve this directly with no success.",negative,-0.6,account_access,medium,True
1000044,A debt collector has been calling me 6 times a day. The calls continue even after I asked them in writing to stop. I am prepared to take legal action if this is not resolved. This has caused me significant financial stress.,negative,-0.9,debt_collection_harassment,high,True
1000289,My student loan servicer has mismanaged my payments. My income-driven application has been pending for 21 months. I have tried to resolve this directly with no success.,negative,-0.6,loan_servicing,medium,True
1000912,I was charged unexpected fees on my account. They charged a monthly maintenance fee on an account advertised as free. Please help me resolve this issue.,negative,-0.6,account_access,medium,True
1002083,Metro Collections is attempting to collect a debt I do not owe. I already paid this debt 23 months ago but it keeps getting resold. This has caused me significant financial stress.,negative,-0.6,debt_collection_harassment,medium,True
1001360,I keep receiving collection notices for a debt that is not mine. The calls continue even after I asked them in writing to stop. I would like a full investigation into this matter.,negative,-0.6,debt_collection_harassment,medium,True
1002895,"I have been trying to fix my credit report for 19 months without success. The account shows a balance of $5,203 that was already paid in full. Please help me resolve this issue.",negative,-0.6,credit_reporting_error,medium,True
1002603,"An item on my credit report is reporting inaccurate information. The account shows a balance of $4,863 that was already paid in full. No one at the company will give me a clear answer.",negative,-0.6,credit_reporting_error,medium,True
1001226,I have been trying to fix my credit report for 12 months without success. A hard inquiry I never authorized appears on my report and no one will remove it. This has caused me significant financial stress.,negative,-0.6,credit_reporting_error,medium,True
1000296,A debt collector has been calling me 7 times a day. I already paid this debt 14 months ago but it keeps getting resold. I would like a full investigation into this matter.,negative,-0.6,debt_collection_harassment,medium,True
1001241,There is an account on my credit report that I do not recognize. I have disputed this 8 times but the bureau keeps verifying it without investigating. Please help me resolve this issue.,negative,-0.6,credit_reporting_error,medium,True
1001005,"I have been trying to fix my credit report for 18 months without success. The account shows a balance of $6,599 that was already paid in full. I have tried to resolve this directly with no success.",negative,-0.6,credit_reporting_error,medium,True
1001665,I found unauthorized charges on my credit card. The dispute has been open for 3 months with no resolution. I have tried to resolve this directly with no success.,negative,-0.6,fees_and_charges,medium,True
1000746,My bank charged me multiple overdraft fees. Funds were withdrawn due to an error they will not reverse. No one at the company will give me a clear answer.,negative,-0.6,account_access,medium,True
1002851,"I disputed a transaction on my card statement. There are 4 fraudulent charges totaling $1,476 that the bank will not refund. I would like a full investigation into this matter.",negative,-0.6,fees_and_charges,medium,True
1000291,First National is attempting to collect a debt I do not owe. They are contacting my family and coworkers about this debt. I would like a full investigation into this matter.,negative,-0.6,debt_collection_harassment,medium,True
1000781,"My checking account was frozen without warning. A deposit of $2,054 was held for 13 days with no explanation. This has caused me significant financial stress.",negative,-0.6,account_access,medium,True
1002144,My student loans were transferred to a new servicer. My income-driven application has been pending for 21 months. This has caused me significant financial stress.,negative,-0.6,loan_servicing,medium,True
1000322,"I applied for a loan modification due to financial hardship. My escrow was miscalculated and my payment jumped by $4,173. I have already contacted an attorney about this. This has caused me significant financial stress.",negative,-0.9,loan_servicing,high,True
1000298,"My credit card company raised my interest rate without notice. My APR jumped and now I owe $2,159 in interest alone. I have already contacted an attorney about this. Please help me resolve this issue.",negative,-0.9,fees_and_charges,high,True
1001298,My credit score dropped by 5 points last month. Fraudulent accounts from identity theft are still showing on my report. No one at the company will give me a clear answer.,negative,-0.6,credit_reporting_error,medium,True
1000194,"My credit card company raised my interest rate without notice. My APR jumped and now I owe $8,354 in interest alone. I would like a full investigation into this matter.",negative,-0.6,fees_and_charges,medium,True
1000063,An item on my credit report is reporting inaccurate information. Unified Servicing LLC listed a late payment I never made and it is hurting my ability to get a loan. I am requesting that this be corrected immediately.,negative,-0.6,credit_reporting_error,medium,True
1000393,I keep receiving collection notices for a debt that is not mine. The calls continue even after I asked them in writing to stop. Please help me resolve this issue.,negative,-0.6,debt_collection_harassment,medium,True
1000727,An item on my credit report is reporting inaccurate information. They are reporting an account as open when it was closed 8 months ago. No one at the company will give me a clear answer.,negative,-0.6,credit_reporting_error,medium,True
1001583,A debt collector has been calling me 10 times a day. They are contacting my family and coworkers about this debt. I am requesting that this be corrected immediately.,negative,-0.6,debt_collection_harassment,medium,True
1001547,I have been trying to fix my credit report for 11 months without success. I have disputed this 6 times but the bureau keeps verifying it without investigating. I am requesting that this be corrected immediately.,negative,-0.6,credit_reporting_error,medium,True
1002425,"I was charged unexpected fees on my account. They charged me 6 overdraft fees of $5,251 each in a single day. I am requesting that this be corrected immediately.",negative,-0.6,account_access,medium,True
1000014,"My credit card company raised my interest rate without notice. There are 2 fraudulent charges totaling $4,731 that the bank will not refund. I have already contacted an attorney about this. I have tried to resolve this directly with no success.",negative,-0.9,fees_and_charges,high,True
1002567,I have been trying to fix my credit report for 5 months without success. Metro Collections listed a late payment I never made and it is hurting my ability to get a loan. This is the third complaint I have had to file. Please help me resolve this issue.,negative,-0.9,credit_reporting_error,high,True
1001600,"I found unauthorized charges on my credit card. My APR jumped and now I owe $7,125 in interest alone. This has caused me significant financial stress.",negative,-0.6,fees_and_charges,medium,True
1001090,I disputed a transaction on my card statement. The dispute has been open for 23 months with no resolution. I have tried to resolve this directly with no success.,negative,-0.6,fees_and_charges,medium,True
1002111,My monthly mortgage payment increased unexpectedly. They lost my modification paperwork 6 separate times. I would like a full investigation into this matter.,negative,-0.6,loan_servicing,medium,True
1000203,I keep receiving collection notices for a debt that is not mine. I already paid this debt 6 months ago but it keeps getting resold. I am requesting that this be corrected immediately.,negative,-0.6,debt_collection_harassment,medium,True
1002418,I am being contacted about a debt that is past the statute of limitations. I already paid this debt 3 months ago but it keeps getting resold. I have tried to resolve this directly with no success.,negative,-0.6,debt_collection_harassment,medium,True
1000152,"My credit card company raised my interest rate without notice. There are 9 fraudulent charges totaling $6,226 that the bank will not refund. I am requesting that this be corrected immediately.",negative,-0.6,fees_and_charges,medium,True
1002901,"I was charged unexpected fees on my account. A deposit of $5,240 was held for 27 days with no explanation. I would like a full investigation into this matter.",negative,-0.6,account_access,medium,True
1001359,An item on my credit report is reporting inaccurate information. They are reporting an account as open when it was closed 13 months ago. Please help me resolve this issue.,negative,-0.6,credit_reporting_error,medium,True
1000772,There is an account on my credit report that I do not recognize. A hard inquiry I never authorized appears on my report and no one will remove it. This has caused me significant financial stress.,negative,-0.6,credit_reporting_error,medium,True
1002678,I have been trying to fix my credit report for 16 months without success. Fraudulent accounts from identity theft are still showing on my report. This has caused me significant financial stress.,negative,-0.6,credit_reporting_error,medium,True
1001001,I have been trying to fix my credit report for 17 months without success. Unified Servicing LLC listed a late payment I never made and it is hurting my ability to get a loan. This has caused me significant financial stress.,negative,-0.6,credit_reporting_error,medium,True
1000718,"Metro Collections transferred my mortgage and now my payments are not being applied. My escrow was miscalculated and my payment jumped by $5,000. I have already contacted an attorney about this. This has caused me significant financial stress.",negative,-0.9,loan_servicing,high,True
1000612,My credit score dropped by 10 points last month. Experian listed a late payment I never made and it is hurting my ability to get a loan. Please help me resolve this issue.,negative,-0.6,credit_reporting_error,medium,True
1000842,My bank charged me multiple overdraft fees. They charged a monthly maintenance fee on an account advertised as free. This has caused me significant financial stress.,negative,-0.6,account_access,medium,True
1000266,Unified Servicing LLC transferred my mortgage and now my payments are not being applied. I was placed in forbearance without my consent. I would like a full investigation into this matter.,negative,-0.6,loan_servicing,medium,True
1000051,My credit score dropped by 9 points last month. A hard inquiry I never authorized appears on my report and no one will remove it. No one at the company will give me a clear answer.,negative,-0.6,credit_reporting_error,medium,True
1001195,My credit score dropped by 3 points last month. A hard inquiry I never authorized appears on my report and no one will remove it. I have already contacted an attorney about this. This has caused me significant financial stress.,negative,-0.9,credit_reporting_error,high,True
1001270,There is an account on my credit report that I do not recognize. I have disputed this 10 times but the bureau keeps verifying it without investigating. Please help me resolve this issue.,negative,-0.6,credit_reporting_error,medium,True
1001491,"An item on my credit report is reporting inaccurate information. The account shows a balance of $7,571 that was already paid in full. I have tried to resolve this directly with no success.",negative,-0.6,credit_reporting_error,medium,True
1001582,I applied for a loan modification due to financial hardship. They are threatening foreclosure even though I am current on payments. I am requesting that this be corrected immediately.,negative,-0.9,loan_servicing,high,True
1000521,I was charged unexpected fees on my account. Funds were withdrawn due to an error they will not reverse. I am requesting that this be corrected immediately.,negative,-0.6,account_access,medium,True
1001694,My credit score dropped by 11 points last month. I have disputed this 2 times but the bureau keeps verifying it without investigating. I have tried to resolve this directly with no success.,negative,-0.6,credit_reporting_error,medium,True
1002663,"Unified Servicing LLC transferred my mortgage and now my payments are not being applied. They misapplied my payment of $2,783 and charged me a late fee. This has caused me significant financial stress.",negative,-0.6,loan_servicing,medium,True
1002748,I submitted a dispute to the credit bureau and heard nothing back. I have disputed this 3 times but the bureau keeps verifying it without investigating. This is the third complaint I have had to file. No one at the company will give me a clear answer.,negative,-0.9,credit_reporting_error,high,True
1001921,"Bank of the Region is attempting to collect a debt I do not owe. They refuse to send written validation of the $1,970 they claim I owe. This has caused me significant financial stress.",negative,-0.6,debt_collection_harassment,medium,True
1000102,An item on my credit report is reporting inaccurate information. They are reporting an account as open when it was closed 21 months ago. I would like a full investigation into this matter.,negative,-0.6,credit_reporting_error,medium,True
1000695,An item on my credit report is reporting inaccurate information. First National listed a late payment I never made and it is hurting my ability to get a loan. Please help me resolve this issue.,negative,-0.6,credit_reporting_error,medium,True
1002332,"My monthly mortgage payment increased unexpectedly. My escrow was miscalculated and my payment jumped by $3,596. I am prepared to take legal action if this is not resolved. This has caused me significant financial stress.",negative,-0.9,loan_servicing,high,True
1002724,"I found unauthorized charges on my credit card. My APR jumped and now I owe $4,079 in interest alone. I would like a full investigation into this matter.",negative,-0.6,fees_and_charges,medium,True
1002272,I applied for a loan modification due to financial hardship. They lost my modification paperwork 5 separate times. I am requesting that this be corrected immediately.,negative,-0.6,loan_servicing,medium,True
1002482,I have been trying to fix my credit report for 21 months without success. I have disputed this 7 times but the bureau keeps verifying it without investigating. No one at the company will give me a clear answer.,negative,-0.6,credit_reporting_error,medium,True
